,category,model,colour,is_duplicate
348,4,P1,3,1
349,1,A13,1,1
350,1,A2,3,1
351,1,A5,3,1
352,4,P4,4,1
353,4,P6,2,0
354,4,P17,2,0
355,4,P10,4,1
356,4,P11,4,0
357,4,P16,7,1
358,4,P15,4,1
359,4,P15,4,1
360,3,C1,4,0
361,3,C13,9,0
362,3,C13,9,1
363,3,C17,14,1
364,1,A14,3,0
365,1,A15,14,1
366,1,A24,2,0
367,1,A35,14,1
368,2,B4,10,1
369,2,B1,4,1
370,2,B32,6,1
371,3,C14,9,1
372,4,P20,7,0
373,4,P40,4,0
374,4,P51,9,0
375,4,P61,1,1
376,4,P4,4,1
377,4,P25,2,0
378,1,A7,3,1
379,1,A11,3,1
380,1,A9,3,1
381,1,A23,6,1
382,3,C44,14,0
383,3,C45,11,0
384,3,C17,14,1
385,1,A15,14,1
386,1,A4,3,1
387,2,B4,10,1
388,2,B1,4,1
389,2,B1,4,1
390,1,A15,14,1
391,2,B1,4,1
392,2,B10,2,1
393,2,B12,2,1
394,2,B15,9,1
395,2,B24,11,1
396,1,A6,3,1
397,3,C13,9,1
398,3,C1,4,1
399,3,C5,11,1
400,3,C14,9,1
401,3,C18,9,1
402,2,B10,2,1
403,2,B11,2,1
404,2,B12,2,1
405,2,B13,12,1
406,2,B14,2,1
407,2,B13,12,1
408,2,B10,2,1
409,2,B20,8,1
410,2,B21,12,1
411,2,B22,2,0
412,2,B27,2,1
413,2,B30,9,1
414,2,B12,2,1
415,2,B10,2,1
416,1,A13,1,1
417,1,A21,1,1
418,1,A14,3,1
419,1,A16,1,1
420,2,B15,9,1
421,1,A4,3,1
422,1,A28,1,1
423,1,A5,3,1
424,1,A6,3,1
425,1,A10,3,1
426,1,A9,3,1
427,1,A12,2,1
428,1,A15,14,1
429,1,A18,4,1
430,1,A34,2,1
431,1,A21,1,1
432,1,A30,6,0
433,2,B4,10,1
434,2,B3,12,1
435,2,B1,4,1
436,2,B15,9,1
437,2,B32,6,1
438,2,B33,6,1
439,3,C4,4,1
440,3,C35,9,1
441,3,C49,4,1
442,3,C58,14,0
443,3,C55,13,1
444,1,A6,3,1
445,2,B4,10,1
446,1,A16,1,1
447,3,C2,12,1
448,3,C4,4,1
449,3,C9,6,1
450,3,C1,4,1
451,1,A2,3,1
452,2,B1,4,1
453,3,C35,9,1
454,3,C21,14,1
455,3,C54,14,0
456,3,C56,6,1
457,2,B4,10,1
458,2,B31,9,1
459,2,B23,7,1
460,2,B24,11,1
461,1,A16,1,1
462,3,C4,4,1
463,1,A26,2,0
464,1,A30,6,1
465,1,A33,1,0
466,1,A38,6,0
467,1,A39,4,0
468,4,P8,2,0
469,4,P17,2,1
470,4,P19,2,0
471,2,B4,10,1
472,4,P19,2,1
473,3,C5,11,1
474,4,P39,14,0
475,4,P49,14,1
476,4,P60,14,1
477,4,P61,1,1
478,4,P80,7,0
479,4,P78,14,0
480,4,P76,2,0
481,4,P82,6,1
482,4,P82,6,1
483,1,A15,14,1
484,1,A40,4,0
485,3,C17,14,1
486,4,P39,14,1
487,2,B11,2,1
488,2,B15,9,1
489,2,B17,6,1
490,2,B3,12,1
491,2,B1,4,1
492,2,B5,14,0
493,3,C25,2,1
494,1,A1,8,1
495,1,A2,3,1
496,1,A3,3,1
497,1,A5,3,1
498,4,P3,2,0
499,4,P8,2,1
500,4,P7,4,0
501,4,P14,2,0
502,4,P17,2,1
503,4,P18,2,0
504,4,P35,4,0
505,4,P33,9,1
506,4,P6,2,1
507,3,C6,6,0
508,1,A6,3,1
509,4,P15,4,1
510,2,B4,10,1
511,2,B17,6,1
512,2,B15,9,1
513,2,B15,9,1
514,2,B10,2,1
515,2,B16,12,1
516,4,P15,4,1
517,1,A2,3,1
518,1,A8,3,1
519,1,A11,3,1
520,1,A12,2,1
521,2,B13,12,1
522,2,B17,6,1
523,3,C12,14,0
524,3,C17,14,1
525,3,C42,7,1
526,4,P15,4,1
527,4,P16,7,1
528,4,P1,3,1
529,4,P3,2,1
530,4,P11,4,1
531,4,P6,2,1
532,3,C6,6,1
533,3,C18,9,1
534,3,C5,11,1
535,4,P6,2,1
536,2,B24,11,1
537,2,B25,6,1
538,2,B22,2,1
539,3,C17,14,1
540,3,C10,9,1
541,3,C14,9,1
542,3,C30,2,0
543,3,C50,9,1
544,1,A11,3,1
545,1,A26,2,1
546,1,A32,2,1
547,1,A42,6,1
548,2,B1,4,1
549,2,B4,10,1
550,2,B14,2,1
551,2,B13,12,1
552,2,B19,13,1
553,2,B32,6,1
554,2,B27,2,1
555,1,A5,3,1
556,1,A8,3,1
557,1,A15,14,1
558,4,P1,3,1
559,4,P4,4,1
560,4,P8,2,1
561,4,P3,2,1
562,3,C2,12,1
563,3,C6,6,1
564,3,C9,6,1
565,3,C35,9,1
566,4,P1,3,1
567,1,A1,8,1
568,3,C18,9,1
569,3,C8,2,1
570,2,B10,2,1
571,4,P8,2,1
572,1,A32,2,1
573,1,A2,3,1
574,4,P6,2,1
575,4,P5,3,0
576,1,A2,3,1
577,1,A3,3,1
578,1,A42,6,1
579,1,A41,4,1
580,4,P1,3,1
581,4,P25,2,1
582,4,P70,6,0
583,4,P82,6,1
584,2,B1,4,1
585,2,B27,2,1
586,2,B2,3,1
587,3,C58,14,1
588,3,C55,13,1
589,2,B8,4,1
590,2,B1,4,1
591,2,B23,7,1
592,3,C56,6,1
593,1,A4,3,1
594,4,P6,2,1
595,3,C1,4,1
596,4,P33,9,1
597,4,P36,2,0
598,4,P25,2,1
599,2,B14,2,1
600,2,B13,12,1
601,2,B15,9,1
602,2,B3,12,1
603,2,B23,7,1
604,2,B23,7,1
605,1,A1,8,1
606,1,A2,3,1
607,4,P2,3,1
608,4,P16,7,1
609,4,P1,3,1
610,4,P3,2,1
611,1,A5,3,1
612,3,C6,6,1
613,3,C15,6,1
614,3,C12,14,1
615,3,C2,12,1
616,4,P1,3,1
617,2,B2,3,1
618,1,A12,2,1
619,4,P12,4,1
620,3,C17,14,1
621,3,C17,14,1
622,1,A10,3,1
623,1,A12,2,1
624,1,A10,3,1
625,1,A12,2,1
626,2,B10,2,1
627,2,B14,2,1
628,2,B3,12,1
629,2,B16,12,1
630,2,B10,2,1
631,4,P10,4,1
632,4,P14,2,1
633,1,A11,3,1
634,1,A15,14,1
635,1,A10,3,1
636,1,A10,3,1
637,1,A4,3,1
638,2,B16,12,1
639,2,B32,6,1
640,3,C15,6,1
641,3,C42,7,1
642,3,C50,9,1
643,4,P1,3,1
644,4,P6,2,1
645,4,P17,2,1
646,4,P9,4,0
647,4,P11,4,1
648,4,P16,7,1
649,4,P20,7,1
650,4,P23,6,1
651,4,P26,4,0
652,4,P33,9,1
653,4,P33,9,1
654,4,P34,9,1
655,4,P52,11,0
656,4,P43,7,1
657,4,P39,14,1
658,4,P55,14,1
659,4,P64,12,0
660,1,A11,3,1
661,4,P4,4,1
662,4,P1,3,1
663,4,P1,3,1
664,4,P17,2,1
665,4,P7,4,1
666,1,A4,3,1
667,1,A5,3,1
668,1,A12,2,1
669,2,B4,10,1
670,2,B29,2,1
671,1,A17,2,1
672,3,C14,9,1
673,4,P12,4,1
674,4,P17,2,1
675,4,P33,9,1
676,4,P36,2,1
677,4,P37,2,0
678,4,P69,9,0
679,2,B14,2,1
680,2,B17,6,1
681,2,B16,12,1
682,2,B25,6,1
683,2,B29,2,1
684,2,B34,2,1
685,4,P12,4,1
686,4,P33,9,1
687,1,A7,3,1
688,1,A13,1,1
689,2,B28,9,1
690,2,B21,12,1
691,2,B20,8,1
692,2,B26,13,1
693,2,B26,13,1
694,2,B13,12,1
695,3,C13,9,1
696,3,C18,9,1
697,1,A1,8,1
698,1,A12,2,1
699,1,A24,2,1
700,3,C57,5,1
701,1,A30,6,1
702,1,A10,3,1
703,1,A37,2,1
704,2,B24,11,1
705,3,C53,14,1
706,1,A4,3,1
707,2,B12,2,1
708,3,C17,14,1
709,3,C37,2,1
710,3,C40,14,1
711,1,A10,3,1
712,1,A11,3,1
713,1,A9,3,1
714,1,A17,2,1
715,1,A7,3,1
716,1,A8,3,1
717,1,A21,1,1
718,1,A33,1,1
719,1,A22,4,0
720,2,B16,12,1
721,2,B17,6,1
722,2,B1,4,1
723,2,B16,12,1
724,1,A1,8,1
725,1,A6,3,1
726,1,A15,14,1
727,2,B9,1,1
728,3,C6,6,1
729,3,C41,13,0
730,2,B9,1,1
731,1,A15,14,1
732,1,A7,3,1
733,1,A10,3,1
734,4,P1,3,1
735,3,C2,12,1
736,4,P2,3,1
737,4,P6,2,1
738,4,P13,4,0
739,4,P16,7,1
740,4,P20,7,1
741,4,P33,9,1
742,3,C22,11,1
743,4,P63,14,1
744,4,P61,1,1
745,1,A11,3,1
746,1,A15,14,1
747,1,A31,6,1
748,2,B14,2,1
749,3,C6,6,1
750,1,A1,8,1
751,1,A10,3,1
752,1,A11,3,1
753,1,A2,3,1
754,1,A10,3,1
755,1,A7,3,1
756,1,A35,14,1
757,1,A36,1,1
758,1,A37,2,1
759,1,A38,6,1
760,1,A39,4,1
761,1,A40,4,1
762,2,B10,2,1
763,2,B11,2,1
764,2,B12,2,1
765,2,B13,12,1
766,2,B14,2,1
767,2,B17,6,1
768,2,B1,4,1
769,2,B15,9,1
770,2,B19,13,1
771,2,B20,8,1
772,2,B21,12,1
773,2,B22,2,1
774,2,B24,11,1
775,2,B25,6,1
776,2,B26,13,1
777,2,B27,2,1
778,2,B28,9,1
779,2,B29,2,1
780,2,B31,9,1
781,2,B32,6,1
782,2,B33,6,1
783,2,B34,2,1
784,3,C50,9,1
785,3,C49,4,1
786,4,P1,3,1
787,4,P4,4,1
788,3,C5,11,1
789,3,C16,13,0
790,1,A15,14,1
791,3,C35,9,1
792,3,C2,12,1
793,1,A15,14,1
794,1,A15,14,1
795,1,A2,3,1
796,3,C1,4,1
797,3,C6,6,1
798,4,P12,4,1
799,4,P11,4,1
800,4,P35,4,1
801,4,P25,2,1
802,4,P39,14,1
803,4,P46,14,0
804,3,C8,2,1
805,3,C5,11,1
806,3,C6,6,1
807,1,A11,3,1
808,1,A8,3,1
809,2,B15,9,1
810,2,B10,2,1
811,2,B13,12,1
812,2,B7,6,1
813,3,C4,4,1
814,3,C14,9,1
815,3,C10,9,1
816,2,B4,10,1
817,2,B10,2,1
818,2,B9,1,1
819,2,B2,3,1
820,1,A6,3,1
821,3,C48,6,0
822,4,P1,3,1
823,4,P16,7,1
824,4,P17,2,1
825,3,C53,14,1
826,1,A11,3,1
827,1,A10,3,1
828,1,A2,3,1
829,1,A6,3,1
830,1,A13,1,1
831,1,A21,1,1
832,1,A21,1,1
833,1,A33,1,1
834,1,A41,4,1
835,1,A31,6,1
836,4,P4,4,1
837,4,P9,4,1
838,4,P10,4,1
839,4,P81,4,0
840,1,A21,1,1
841,1,A28,1,1
842,1,A31,6,1
843,1,A33,1,1
844,1,A41,4,1
845,2,B4,10,1
846,1,A3,3,1
847,1,A3,3,1
848,4,P1,3,1
849,4,P4,4,1
850,4,P17,2,1
851,1,A5,3,1
852,1,A7,3,1
853,4,P8,2,1
854,4,P1,3,1
855,1,A1,8,1
856,1,A4,3,1
857,3,C14,9,1
858,3,C7,13,1
859,4,P1,3,1
860,4,P2,3,1
861,3,C2,12,1
862,3,C54,14,1
863,3,C5,11,1
864,3,C56,6,1
865,4,P26,4,1
866,4,P29,5,1
867,4,P80,7,1
868,2,B31,9,1
869,4,P1,3,1
870,4,P43,7,1
871,1,A11,3,1
872,1,A3,3,1
873,2,B17,6,1
874,3,C35,9,1
875,1,A1,8,1
876,1,A2,3,1
877,1,A3,3,1
878,1,A13,1,1
879,1,A15,14,1
880,1,A17,2,1
881,3,C7,13,1
882,3,C4,4,1
883,3,C58,14,1
884,2,B27,2,1
885,2,B27,2,1
886,3,C58,14,1
887,3,C4,4,1
888,3,C7,13,1
889,1,A17,2,1
890,1,A15,14,1
891,1,A13,1,1
892,1,A3,3,1
893,1,A4,3,1
894,4,P17,2,1
895,2,B14,2,1
896,2,B10,2,1
897,2,B12,2,1
898,2,B11,2,1
899,2,B22,2,1
900,2,B23,7,1
901,1,A12,2,1
902,1,A5,3,1
903,4,P6,2,1
904,4,P14,2,1
905,4,P1,3,1
906,3,C14,9,1
907,4,P12,4,1
908,4,P15,4,1
909,3,C2,12,1
910,3,C13,9,1
911,2,B10,2,1
912,3,C6,6,1
913,1,A2,3,1
914,4,P23,6,1
915,3,C50,9,1
916,3,C6,6,1
917,2,B3,12,1
918,2,B9,1,1
919,1,A21,1,1
920,2,B24,11,1
921,1,A16,1,1
922,1,A17,2,1
923,3,C3,6,1
924,4,P15,4,1
925,3,C1,4,1
926,3,C5,11,1
927,3,C8,2,1
928,3,C17,14,1
929,3,C41,13,1
930,3,C53,14,1
931,3,C46,2,1
932,3,C31,12,1
933,3,C6,6,1
934,3,C7,13,1
935,3,C5,11,1
936,3,C15,6,1
937,2,B1,4,1
938,2,B16,12,1
939,2,B13,12,1
940,2,B25,6,1
941,2,B26,13,1
942,1,A30,6,1
943,1,A37,2,1
944,4,P1,3,1
945,4,P2,3,1
946,4,P38,9,0
947,4,P43,7,1
948,4,P46,14,1
949,4,P47,14,0
950,4,P44,11,0
951,4,P49,14,1
952,4,P59,2,0
953,4,P60,14,1
954,4,P3,2,1
955,4,P1,3,1
956,2,B32,6,1
957,1,A31,6,1
958,4,P48,9,1
959,4,P1,3,1
960,4,P34,9,1
961,4,P65,9,0
962,3,C6,6,1
963,4,P12,4,1
964,3,C9,6,1
965,3,C3,6,1
966,3,C38,13,0
967,3,C48,6,1
968,3,C38,13,1
969,3,C5,11,1
970,3,C16,13,1
971,3,C6,6,1
972,1,A28,1,1
973,1,A42,6,1
974,1,A4,3,1
975,3,C26,14,1
976,2,B3,12,1
977,2,B24,11,1
978,2,B26,13,1
979,2,B31,9,1
980,2,B32,6,1
981,3,C6,6,1
982,2,B28,9,1
983,3,C1,4,1
984,3,C5,11,1
985,3,C8,2,1
986,3,C10,9,1
987,3,C17,14,1
988,3,C12,14,1
989,3,C44,14,1
990,3,C44,14,1
991,3,C45,11,1
992,3,C21,14,1
993,3,C33,14,1
994,3,C21,14,1
995,4,P15,4,1
996,3,C12,14,1
997,3,C54,14,1
998,3,C54,14,1
999,3,C59,5,1
1000,3,C47,13,1
1001,3,C38,13,1
1002,3,C38,13,1
1003,3,C21,14,1
1004,3,C1,4,1
1005,3,C4,4,1
1006,3,C26,14,1
1007,3,C21,14,1
1008,3,C20,13,0
1009,3,C20,13,1
1010,3,C27,11,0
1011,3,C12,14,1
1012,3,C38,13,1
1013,3,C44,14,1
1014,3,C33,14,1
1015,3,C50,9,1
1016,3,C45,11,1
1017,3,C20,13,1
1018,3,C12,14,1
1019,3,C28,2,0
1020,3,C43,6,0
1021,4,P23,6,1
1022,4,P19,2,1
1023,4,P39,14,1
1024,4,P42,6,1
1025,4,P44,11,1
1026,4,P49,14,1
1027,4,P60,14,1
1028,4,P58,9,0
1029,3,C4,4,1
1030,4,P6,2,1
1031,4,P44,11,1
1032,4,P37,2,1
1033,4,P46,14,1
1034,4,P48,9,1
1035,4,P67,9,1
1036,4,P70,6,1
1037,2,B10,2,1
1038,1,A4,3,1
1039,1,A11,3,1
1040,1,A10,3,1
1041,1,A6,3,1
1042,1,A23,6,1
1043,2,B2,3,1
1044,2,B4,10,1
1045,2,B11,2,1
1046,2,B13,12,1
1047,2,B24,11,1
1048,2,B32,6,1
1049,1,A17,2,1
1050,3,C15,6,1
1051,3,C8,2,1
1052,3,C9,6,1
1053,1,A18,4,1
1054,1,A6,3,1
1055,1,A2,3,1
1056,3,C9,6,1
1057,4,P15,4,1
1058,2,B2,3,1
1059,2,B9,1,1
1060,2,B26,13,1
1061,2,B21,12,1
1062,2,B20,8,1
1063,1,A5,3,1
1064,1,A13,1,1
1065,1,A13,1,1
1066,1,A15,14,1
1067,1,A17,2,1
1068,2,B4,10,1
1069,1,A17,2,1
1070,2,B10,2,1
1071,2,B11,2,1
1072,2,B11,2,1
1073,2,B12,2,1
1074,2,B13,12,1
1075,2,B14,2,1
1076,2,B22,2,1
1077,2,B24,11,1
1078,2,B25,6,1
1079,2,B26,13,1
1080,2,B29,2,1
1081,2,B32,6,1
1082,4,P1,3,1
1083,4,P4,4,1
1084,4,P6,2,1
1085,4,P10,4,1
1086,4,P16,7,1
1087,4,P23,6,1
1088,4,P23,6,1
1089,4,P33,9,1
1090,1,A4,3,1
1091,4,P5,3,1
1092,4,P2,3,1
1093,4,P16,7,1
1094,4,P17,2,1
1095,4,P21,4,0
1096,4,P34,9,1
1097,4,P34,9,1
1098,4,P34,9,1
1099,4,P34,9,1
1100,4,P49,14,1
1101,4,P26,4,1
1102,2,B2,3,1
1103,2,B10,2,1
1104,4,P3,2,1
1105,1,A33,1,1
1106,1,A30,6,1
1107,4,P3,2,1
1108,4,P39,14,1
1109,1,A10,3,1
1110,2,B6,2,1
1111,2,B29,2,1
1112,2,B30,9,1
1113,1,A15,14,1
1114,3,C36,14,1
1115,3,C21,14,1
1116,3,C40,14,1
1117,3,C44,14,1
1118,2,B11,2,1
1119,1,A17,2,1
1120,1,A2,3,1
1121,4,P5,3,1
1122,4,P7,4,1
1123,4,P43,7,1
1124,4,P72,14,0
1125,4,P73,11,0
1126,1,A2,3,1
1127,1,A17,2,1
1128,4,P6,2,1
1129,4,P9,4,1
1130,4,P5,3,1
1131,4,P4,4,1
1132,4,P14,2,1
1133,4,P15,4,1
1134,4,P17,2,1
1135,4,P11,4,1
1136,4,P9,4,1
1137,1,A1,8,1
1138,1,A2,3,1
1139,1,A3,3,1
1140,1,A4,3,1
1141,1,A5,3,1
1142,1,A6,3,1
1143,1,A7,3,1
1144,1,A9,3,1
1145,2,B1,4,1
1146,2,B2,3,1
1147,2,B9,1,1
1148,2,B8,4,1
1149,2,B7,6,1
1150,2,B5,14,1
1151,2,B4,10,1
1152,2,B3,12,1
1153,3,C1,4,1
1154,3,C5,11,1
1155,1,A1,8,1
1156,1,A11,3,1
1157,1,A6,3,1
1158,1,A17,2,1
1159,1,A16,1,1
1160,1,A15,14,1
1161,1,A12,2,1
1162,1,A19,12,1
1163,1,A21,1,1
1164,1,A34,2,1
1165,1,A33,1,1
1166,1,A30,6,1
1167,1,A31,6,1
1168,1,A37,2,1
1169,3,C5,11,1
1170,3,C8,2,1
1171,3,C18,9,1
1172,3,C24,12,0
1173,3,C25,2,1
1174,3,C30,2,1
1175,3,C35,9,1
1176,3,C37,2,1
1177,3,C38,13,1
1178,3,C41,13,1
1179,3,C43,6,1
1180,3,C45,11,1
1181,3,C46,2,1
1182,3,C48,6,1
1183,3,C49,4,1
1184,3,C50,9,1
1185,3,C51,6,1
1186,4,P1,3,1
1187,4,P7,4,1
1188,4,P12,4,1
1189,4,P13,4,1
1190,4,P15,4,1
1191,4,P23,6,1
1192,4,P38,9,1
1193,4,P39,14,1
1194,4,P40,4,1
1195,4,P41,9,0
1196,4,P57,4,1
1197,4,P59,2,1
1198,4,P67,9,1
1199,4,P4,4,1
1200,4,P8,2,1
1201,1,A4,3,1
1202,1,A12,2,1
1203,3,C29,6,0
1204,3,C30,2,1
1205,3,C40,14,1
1206,3,C49,4,1
1207,3,C50,9,1
1208,4,P8,2,1
1209,4,P43,7,1
1210,4,P71,2,0
1211,4,P72,14,1
1212,3,C48,6,1
1213,3,C52,2,1
1214,3,C30,2,1
1215,3,C24,12,1
1216,4,P38,9,1
1217,4,P40,4,1
1218,4,P43,7,1
1219,4,P57,4,1
1220,4,P41,9,1
1221,1,A5,3,1
1222,1,A1,8,1
1223,1,A3,3,1
1224,1,A6,3,1
1225,1,A9,3,1
1226,1,A10,3,1
1227,1,A11,3,1
1228,1,A12,2,1
1229,1,A13,1,1
1230,1,A32,2,1
1231,1,A33,1,1
1232,1,A33,1,1
1233,1,A33,1,1
1234,2,B4,10,1
1235,2,B31,9,1
1236,1,A33,1,1
1237,1,A30,6,1
1238,1,A12,2,1
1239,1,A7,3,1
1240,3,C13,9,1
1241,3,C46,2,1
1242,3,C51,6,1
1243,4,P6,2,1
1244,4,P2,3,1
1245,3,C56,6,1
1246,2,B10,2,1
